復仇者聯盟：終局之戰|Avengers: Endgame|data\images\movie\movieimg\movie1.jpg|movie1|3|181|安東尼·羅素喬·羅素|小勞勃·道尼克里斯·伊凡馬克·盧法洛|https://www.youtube.com/embed/ZrB7EdfPBJU|薩諾斯用無限寶石手套消滅宇宙一半生命過去23天，地球各處逐漸分崩離析|2020/7/1|2020/9/1|1
航海王：奪寶爭霸戰|ONE PIECE STAMPEDE|data\images\movie\movieimg\movie2.jpg|movie2|2|101|大塚隆史|田中真弓中井和哉岡村明美|https://www.youtube.com/embed/nWXbbC158nU|草帽海賊團收到「海賊萬博會」主辦人布埃納·費斯特的請柬前往該世界頂尖的祭典。萬博會上的主打是尋找「海賊王」哥爾·羅傑所遺留的寶藏。然而，在萬博會的背後，外號「最惡戰爭發動者」的布埃納·費斯特的凶行，與想把海賊一網打盡的海軍也展開行動，左右時代霸權的財寶爭奪戰拉開序幕。|2020/7/1|2020/9/1|1
牠2|It Chapter Two|data\images\movie\movieimg\movie3.jpg|movie3|3|169|安迪·馬希提|潔西卡·崔絲坦詹姆斯·麥艾維比爾·哈德|https://www.youtube.com/embed/WuiEiE0nXio|2016年，緬因州德利鎮，一對男同性戀情侶離開小鎮嘉年華路上遭到四名反同性戀的青少年暴力襲擊，當中的亞卓安·麥隆被扔下橋墜河，而經過27年再現的跳舞小丑潘尼懷斯將他拉上岸後咬死。在27年前對付過潘尼懷斯的麥克·韓洛被迫聯繫他的童年夥伴，原先魯蛇俱樂部全員比爾·丹柏、貝芙莉·馬許、瑞奇·托茲、班·漢斯康、艾迪·卡斯布拉克與史丹利·尤瑞斯。大部分人都以朦朧的童年回憶與不詳預感而回去故鄉|2020/7/1|2020/9/1|1
哥吉拉 II 怪獸之王|Godzilla: King of the Monsters|data\images\movie\movieimg\movie4.jpg|movie4|2|132|麥可·道格堤|凱爾·錢德勒薇拉·法蜜嘉米莉·芭比·布朗|https://www.youtube.com/embed/rG74w_-abrA|美國舊金山發生的巨獸襲擊過去五年，哥吉拉與各種「泰坦巨獸」也被世人所知，負責探索且控制這些巨獸的組織「君主」（Monarch）也面臨民眾及美國政府施壓，要求他們公布巨獸信息及納入軍方管轄。|2020/7/1|2020/9/1|1
水行俠|Aquaman|data\images\movie\movieimg\movie5.jpg|movie5|2|143|溫子仁|傑森·摩莫亞安柏·赫德威廉·達佛|https://www.youtube.com/embed/4VrcUVzvRwM|1985年，美國東北部緬因州的燈塔看守者湯瑪士·庫瑞，在一場暴風雨中營救受傷被衝上岸的海底王國亞特蘭提斯女王亞特蘭娜，來自不同世界的他們從此墜入愛河且生下一子亞瑟，其出生時得到能跟海洋生物溝通的能力。|2020/7/1|2020/9/1|1
星際大戰：天行者的崛起|Star Wars: The Rise of Skywalker|data\images\movie\movieimg\movie6.jpg|movie6|3|142|J·J·亞柏拉罕|嘉莉·費雪馬克·漢米爾亞當·崔佛|https://www.youtube.com/embed/qNf93yPY2LQ|在抵抗勢力成功逃脫第一軍團追捕的一年後，第一軍團最高領袖凱羅·忍帶領部隊繼續鎮壓其他星球的反抗時，他藉著找到的西斯尋路儀而意識到有股龐大的黑暗原力潛藏在「未知區域」深處，他循著線索最終在「未知領域」深處的艾克西格星（Exegol）上一個陰暗而龐大的建築內找到了這股黑暗力量的源頭|2020/7/1|2020/9/1|1
親愛的小孩|SON MOTHER|data\images\movie\movieimg\movie7.jpg|movie7|2|102|瑪娜茲莫哈瑪迪(Mahnaz Mohammadi)|蕾哈柯達雅里(Raha Khodayari) 、 瑪罕納西里(Mahan Nasiri)|https://www.youtube.com/embed/93I0xxYXg3Y|社會大眾無情的眼睛，以及公司同僚心懷不軌的看好戲，萊拉如果要擺脫她的悲慘命運，只有一個辦法。迫於無奈，她只好將阿米爾送去聾啞寄宿學校，她要兒子裝聾作啞等她三個月，三個月確認完婚後就會接他回來。實際到了那邊的阿米爾，才發現身邊同學都是一些被媽媽永遠拋棄的小孩，所以他決定逃回家，然而屢次回去他都會因看到媽媽的辛苦而不捨再回來。阿米爾必須做出他小小年紀的第一個重大決定......|2020/6/24|2020/8/24|1
明信片謀殺案|THE POSTCARD KILLINGS|data\images\movie\movieimg\movie8.jpg|movie8|4|105|丹尼斯塔諾維奇(Danis Tanovic)|傑佛瑞狄恩摩根(Jeffrey Dean Morgan) 、 芬姬詹森(FamkeJanssen) 、 約希姆克羅爾(Joachim Król) 、 娜歐蜜貝翠克(Naomi Battrick) 、 庫什珍寶(Cush Jumbo)|https://www.youtube.com/embed/pnE5fujJpII|紐約刑警雅各(傑佛瑞狄恩摩根飾)和前妻瓦萊麗(芳姬詹森飾)的愛女在倫敦度蜜月時慘遭殺害，雅各親赴歐洲見女兒最後一面，卻發現命案疑點重重，為了追捕兇手他私下展開調查，意外捲入了橫跨全歐洲的連環殺人案。連環殺人案遍布巴黎、哥本哈根，法蘭克福和斯德哥爾摩等各地，每起案件的死者都會跟上一位被害者的屍體殘骸一同擺放成宛如藝術品的奇特姿態，讓案情更加撲朔迷離。|2020/6/19|2020/8/19|1
阿基拉|AKIRA|data\images\movie\movieimg\movie9.jpg|movie9|4|126|大友克洋|小山茉美、石田太郎|https://www.youtube.com/embed/IGpB4ZHhtQM|1988年東京發生大爆炸，引發第三次世界大戰。之後，人類捲土重來，於各地重建超現代城市。2019年，重建後的新東京宛如一個末世廢墟，頹喪、空洞、委靡。暴走族老大金田和好友鐵雄意外捲入政府的陰謀之中，31年前那場災難背後的真相呼之欲出……。在這繁華與毀滅共存的時代，唯一的救贖似乎只剩下「阿基拉」—一個能重建「光明與希望」的強大力量。|2020/6/24|2020/8/24|1
慾望街車|A STREETCAR NAMED DESIRE|data\images\movie\movieimg\movie10.jpg|movie10|3|125|伊力卡山(Elia Kazan)|費雯麗(Vivien Leigh) 、 馬龍白蘭度(Marlon Brando)|https://www.youtube.com/embed/b3dVKQuHNrw|由50年代知名導演伊力卡山執導，故事以慾望為主線，敘述風韻猶存的南方美女布蘭奇因家道中落後而崩潰，轉投靠妹妹史黛拉和妹夫史丹利，希望可以在新的地方遺忘過去、重新開始。然而史丹利卻不像史黛拉一般大方慷慨，懷疑表裡不一的布蘭奇私下佔有屬於史黛拉的遺產，兩人因價值觀及生活方式不同而衝突不斷。後來經常出入史丹利家的米奇也喜歡上布蘭奇，種種一切讓布蘭奇發現唯有面對過去、誠實回答史丹利的質問才能真正重新來過。|2020/6/25|2020/8/25|1
萬花嬉春|SINGIN IN THE RAIN|data\images\movie\movieimg\movie11.jpg|movie11|1|103|史丹利杜寧(Stanley Donen) 、 金凱利(Gene Kelly)|金凱利(Gene Kelly) 、 唐納奧康諾(Donald O'Connor) 、 黛比雷諾(Debbie Reynolds)|https://www.youtube.com/embed/NU6vg2Zyukw|《萬花嬉春》以好萊塢無聲片過度到有聲片的1920年代為背景，用歌舞貫穿劇情，敘述業餘舞者出生的默片明星唐洛克伍（金凱利飾），與好友科斯莫布朗（唐納奧康諾飾）努力打拼進入好萊塢的過程，而唐憑著姣好的外貌與琳娜拉蒙（珍哈根飾）被電影公司塑造成炙手可熱的銀幕情侶，琳娜為了掩飾自己在有聲片中難聽的嗓音，逼迫才藝俱佳的新進演員凱西薛爾頓（黛比雷諾飾）一輩子作為她的替「聲」，因此唐只好使出非常手段揭穿琳娜的虛假形象，最後與凱西成為受到眾人祝福的情侶。|2020/6/25|2020/8/25|1
射鵰英雄傳之東成西就|THE EAGLE SHOOTING HEROES|data\images\movie\movieimg\movie12.jpg|movie12|1|103|劉鎮偉|張國榮(Leslie Cheung) 、 林青霞 、 梁朝偉(Tony Leung) 、 劉嘉玲(Carina Lau) 、 張學友(Jacky Cheung) 、 張曼玉(Maggie Chang) 、 梁家輝(Tony Leung Ka Fai) 、 王祖賢 、 鍾鎮濤|https://www.youtube.com/embed/coi2C_fV0JU|金輪國王妃（葉玉卿 飾）與表哥歐陽鋒（梁朝偉 飾）為霸占江山，聯手毒害國王，卻找不到傳國玉璽。糊塗國師（張曼玉 飾）屈服在兩人淫威下，查出玉璽在前往九宮山求助的三公主（林青霞 飾）手裡，歐陽鋒便乘火箭金靴追趕。天曉得靴子意外掉落，一腳插死剛出關的王重陽（鐘鎮濤 飾），他懇求路過的三公主找到師弟周伯通（劉嘉玲 飾）代為報仇。逃到九宮山的三公主邀師弟黃藥師（張國榮 飾）與師妹（王祖賢 飾）相助，再加上苦戀表妹的洪七（張學友 飾）、找到真心人才能成仙的段智興（梁家輝 飾），一場與歐陽鋒的生死亂鬥即將蓄勢待發……。|2020/6/19|2020/8/19|1
東邪西毒：終極版(數位粵語版)|ASHES OF TIME RUDUX|data\images\movie\movieimg\movie13.jpg|movie13|3|93|王家衛(Wong Kar-Wai)|張國榮(Leslie Cheung) 、 林青霞 、 梁朝偉(Tony Leung) 、 劉嘉玲(Carina Lau) 、 梁家輝(Tony Leung Ka Fai) 、 張學友(Jacky Cheung) 、 張曼玉(Maggie Chang) 、 楊采妮(Charlie Yeung)|https://www.youtube.com/embed/YiXSo2H0jiQ|茫茫大漠，時間如流動的沙。歐陽鋒（張國榮 飾）失去戀人（張曼玉 飾）後孤身隱居沙漠，以職業殺手維生。日復一日，在他身邊出現的黃藥師（梁家輝 飾）、慕容燕（林青霞 飾）、盲劍客（梁朝偉 飾）、洪七（張學友 飾）、桃花（劉嘉玲 飾），彼此交織出一場愛恨纏繞的戰爭。這場戰爭沒有勝利者，喝下名為「醉生夢死」的酒，讓所有曾經相濡以沫的人，從此相忘於江湖……。|2020/6/19|2020/8/19|1
銀翼殺手最終版|BLADE RUNNER THE FINAL CUT|data\images\movie\movieimg\movie14.jpg|movie14|4|117|雷利史考特(Ridley Scott)|哈里遜福特(Harrison Ford) 、 魯格豪爾(Rutger Hauer) 、 西恩楊(Sean Young) 、 愛德華詹姆士歐蒙(Edward James Olmos) 、 黛瑞漢娜(Daryl Hannah)|https://www.youtube.com/embed/1nexAQuEzgc|《銀翼殺手最終版》電影根據科幻小說家菲利普狄克1968年的小說《仿生人會夢見電子羊嗎？》改編，故事背景設定在21世紀的未來世界中，科技昌明卻道德淪喪、早已不適合人類生存，因此透過基因科技生產複製人於外太空殖民地從事危險、卑下的奴隷工作，然而違反禁令、跑到地球的複製人，則有「銀翼殺手」的特別警察負責追捕、使其「退役」。由哈里遜福特飾演的戴克即是一名銀翼殺手，在追捕複製人瑞秋（西恩楊飾演）的過程中感受到複製人存在及生命本質的複雜問題。|2020/6/12|2020/8/12|1
北非諜影|CASABLANCA|data\images\movie\movieimg\movie15.jpg|movie15|2|102|麥考寇帝斯(Michael Curtiz)|亨佛萊鮑嘉(Humphrey Bogart) 、 英格麗褒曼(Ingrid Bergman) 、 保羅亨利(Paul Henreid)|https://www.youtube.com/embed/R_HJNAdD5dA|電影以二次世界大戰的歐洲為背景，敘述當時北非的卡薩布蘭卡由法國所控制，歐洲難民紛紛以此地作為前往美國的跳板，因此充滿國際陰謀和詭計。前美國情報員瑞克於當地經營一間酒吧，與當地各階層相處融洽、極負眾望。有一天瑞克的昔日女友伊莎及其丈夫維克多走進了瑞克的酒吧，兩人回憶起過去、舊情復燃，但最後瑞克選擇幫助伊莎及其丈夫維克多逃離納粹的魔掌，完成捨愛取義的功績。|2020/6/12|2020/8/12|1
黑暗騎士|THE DARK KNIGHT|data\images\movie\movieimg\movie16.jpg|movie16|2|152|克里斯多福諾蘭(Christopher Nolan)|克里斯汀貝爾(Christian Bale) 、 希斯萊傑(Heath Ledger) 、 亞倫艾克哈特(Aaron Eckhart) 、 米高肯恩(Michael Caine) 、 瑪姬葛倫霍(Maggie Gyllenhaal) 、 蓋瑞歐德曼(Gary Oldman) 、 摩根費里曼(Morgan Freeman)|https://www.youtube.com/embed/8gXj5SzLieI|蝙蝠俠全力打擊犯罪活動，這次加上正義警官吉姆戈登和地方檢察官哈維丹特的鼎力相助，蝙蝠俠蓄勢待發剷除危害高譚市的犯罪組織。蝙蝠俠與兩位官方人物的合作雖然更具優勢，不過他們很快就發現自己成為敵人鎖定的目標，此人便是高譚市居民聞之喪膽的「小丑」（Joker），正是勢力漸大的犯罪組織首領。他在高譚市掀起一片混亂，使得替天行道的除惡英雄蝙蝠俠再次出擊。|2020/6/29|2020/8/29|1
